Lake,Species,d15N,TL,d2H,PC1,Category
Alajarvi,Bleak,9.704942,2.924726214,-177.2809355,1.171070246,Humic_Unac
Alajarvi,Bleak,10.2962,3.098625626,-206.8421673,1.171070246,Humic_Unac
Alajarvi,Bleak,10.52271,3.165246214,-185.7230305,1.171070246,Humic_Unac
Alajarvi,Bleak,9.764363,2.942202979,-181.6132449,1.171070246,Humic_Unac
Alajarvi,Perch_predatory,12.59194,3.773843273,-184.7621693,1.171070246,Humic_Unac
Alajarvi,Perch_predatory,12.34007,3.699763861,-190.0633864,1.171070246,Humic_Unac
Alajarvi,Perch,12.39381,3.715569744,-191.1861677,1.171070246,Humic_Unac
Alajarvi,Perch,11.94168,3.582590332,-187.2692348,1.171070246,Humic_Unac
Alajarvi,Perch,12.18346,3.653702096,-177.7261022,1.171070246,Humic_Unac
Alajarvi,Perch,11.70577,3.513205038,-186.8725885,1.171070246,Humic_Unac
Alajarvi,Perch,11.72694,3.519431508,-191.5067298,1.171070246,Humic_Unac
Alajarvi,Perch,12.19571,3.657305038,-187.0026985,1.171070246,Humic_Unac
Alajarvi,Perch,12.06183,3.617928567,-192.7675318,1.171070246,Humic_Unac
Alajarvi,Perch,11.43411,3.433305038,-180.2167383,1.171070246,Humic_Unac
Alajarvi,Perch,11.36538,3.413090332,-197.3887958,1.171070246,Humic_Unac
Alajarvi,Perch,11.525,3.460037391,-190.6105252,1.171070246,Humic_Unac
Alajarvi,Perch,11.62826,3.490407979,-197.0840086,1.171070246,Humic_Unac
Alajarvi,Perch,11.97671,3.592893273,-198.6520396,1.171070246,Humic_Unac
Alajarvi,Roach,11.29597,3.392675626,-167.5894335,1.171070246,Humic_Unac
Alajarvi,Roach,10.97182,3.297337391,-182.2345036,1.171070246,Humic_Unac
Alajarvi,Roach,10.90294,3.277078567,-185.8641202,1.171070246,Humic_Unac
Alajarvi,Roach,11.06541,3.324863861,-179.0267055,1.171070246,Humic_Unac
Alajarvi,Roach,11.5528,3.468213861,-196.3426183,1.171070246,Humic_Unac
Alajarvi,Roach,10.75651,3.23401092,-195.3018627,1.171070246,Humic_Unac
Alajarvi,Roach,9.871384,2.973679744,-203.6805401,1.171070246,Humic_Unac
Alajarvi,Roach,10.4669,3.148831508,-181.4077012,1.171070246,Humic_Unac
Alajarvi,Roach,10.50218,3.159207979,-202.2393648,1.171070246,Humic_Unac
Alajarvi,Roach,10.22743,3.078399155,-186.8623006,1.171070246,Humic_Unac
Alajarvi,Ruffe,11.59442,3.480455038,-187.10726,1.171070246,Humic_Unac
Alajarvi,Ruffe,12.35114,3.703019744,-181.1650717,1.171070246,Humic_Unac
Alajarvi,Ruffe,11.93909,3.581828567,-187.2336572,1.171070246,Humic_Unac
Alajarvi,Ruffe,11.97264,3.591696214,-179.9426447,1.171070246,Humic_Unac
Alajarvi,Ruffe,12.1474,3.643096214,-193.5954562,1.171070246,Humic_Unac
Alajarvi,Vendace,11.98851,3.596363861,-182.158833,1.171070246,Humic_Unac
Alajarvi,Vendace,11.85015,3.555669744,-175.5223286,1.171070246,Humic_Unac
Alajarvi,Vendace,11.9562,3.58686092,-177.7408895,1.171070246,Humic_Unac
Alajarvi,Vendace,12.17381,3.650863861,-186.8555821,1.171070246,Humic_Unac
Alajarvi,Vendace,12.1485,3.643419744,-186.0719384,1.171070246,Humic_Unac
Alanne,Bleak,6.533725,3.716052336,-150.7156776,-2.917226814,Humic_Ac
Alanne,Bleak,7.017983,3.858481159,-150.4739774,-2.917226814,Humic_Ac
Alanne,Bleak,6.015425,3.563611159,-153.3964927,-2.917226814,Humic_Ac
Alanne,Bleak,6.246694,3.631631454,-133.3202953,-2.917226814,Humic_Ac
Alanne,Bleak,6.248374,3.632125571,-134.9078104,-2.917226814,Humic_Ac
Alanne,Perch_predatory,9.970905,4.72698763,-127.7788917,-2.917226814,Humic_Ac
Alanne,Perch_predatory,7.817951789,4.093766097,-136.8234481,-2.917226814,Humic_Ac
Alanne,Perch_predatory,8.406860693,4.266974599,-140.5973926,-2.917226814,Humic_Ac
Alanne,Perch_predatory,8.644347041,4.336823524,-137.0619987,-2.917226814,Humic_Ac
Alanne,Perch_predatory,8.432989159,4.274659441,-140.6618148,-2.917226814,Humic_Ac
Alanne,Perch,7.304755,3.942825865,-136.268233,-2.917226814,Humic_Ac
Alanne,Perch,6.630027,3.744376454,-144.7845161,-2.917226814,Humic_Ac
Alanne,Perch,7.845311,4.101812924,-138.8413082,-2.917226814,Humic_Ac
Alanne,Perch,8.152804,4.192252042,-139.8177091,-2.917226814,Humic_Ac
Alanne,Perch,5.478083,3.405569395,-165.2930777,-2.917226814,Humic_Ac
Alanne,Perch,5.274954,3.345825571,-161.7641338,-2.917226814,Humic_Ac
Alanne,Perch,5.556393,3.428601748,-161.6530114,-2.917226814,Humic_Ac
Alanne,Perch,5.569336,3.432408512,-161.9947368,-2.917226814,Humic_Ac
Alanne,Perch,5.427881,3.390804101,-161.6624052,-2.917226814,Humic_Ac
Alanne,Pike,8.126726,4.184582042,-132.1892268,-2.917226814,Humic_Ac
Alanne,Pike,8.503258,4.295326748,-137.2727218,-2.917226814,Humic_Ac
Alanne,Roach,6.111919,3.591991748,-149.8281911,-2.917226814,Humic_Ac
Alanne,Roach,6.146797,3.602249983,-162.0880716,-2.917226814,Humic_Ac
Alanne,Roach,7.381424445,3.965375702,-170.9300731,-2.917226814,Humic_Ac
Alanne,Roach,6.84323712,3.807085312,-179.4011146,-2.917226814,Humic_Ac
Alanne,Roach,7.284214626,3.936784579,-182.9870462,-2.917226814,Humic_Ac
Alanne,Ruffe,9.385696,4.554867336,-134.2608106,-2.917226814,Humic_Ac
Alanne,Ruffe,9.935434,4.716554983,-132.4911207,-2.917226814,Humic_Ac
Alanne,Ruffe,9.698909854,4.646989058,-143.8830297,-2.917226814,Humic_Ac
Alanne,Ruffe,8.464185,4.283834689,-144.0242343,-2.917226814,Humic_Ac
Alanne,Ruffe,8.725344,4.360646159,-146.1096023,-2.917226814,Humic_Ac
Alanne,Vendace,7.025206,3.860605571,-134.2017165,-2.917226814,Humic_Ac
Alanne,Vendace,6.58405,3.730853806,-133.421212,-2.917226814,Humic_Ac
Alanne,Vendace,6.336952,3.658177924,-154.7239604,-2.917226814,Humic_Ac
Alanne,Vendace,6.942601,3.836309983,-136.3773053,-2.917226814,Humic_Ac
Alanne,Vendace,7.189212727,3.908842844,-134.1086937,-2.917226814,Humic_Ac
Arkusjarvi,Bleak,9.622429426,3.03343784,-175.1533624,1.138307346,Low_humic_Ac
Arkusjarvi,Bleak,9.065724014,2.869700955,-151.5045309,1.138307346,Low_humic_Ac
Arkusjarvi,Bleak,9.935364228,3.125477488,-183.5766339,1.138307346,Low_humic_Ac
Arkusjarvi,Bleak,9.331763245,2.947947787,-166.0093918,1.138307346,Low_humic_Ac
Arkusjarvi,Bleak,9.902876778,3.115922356,-166.1854959,1.138307346,Low_humic_Ac
Arkusjarvi,Perch_predatory,12.30082618,3.821201593,-153.1640653,1.138307346,Low_humic_Ac
Arkusjarvi,Perch_predatory,11.06282325,3.457083084,-177.7795701,1.138307346,Low_humic_Ac
Arkusjarvi,Perch_predatory,12.53771963,3.890876137,-162.2995069,1.138307346,Low_humic_Ac
Arkusjarvi,Perch_predatory,11.5028356,3.586498479,-154.9775532,1.138307346,Low_humic_Ac
Arkusjarvi,Perch_predatory,11.97846636,3.726389879,-159.0010796,1.138307346,Low_humic_Ac
Arkusjarvi,Perch,10.56139294,3.309603579,-180.6741301,1.138307346,Low_humic_Ac
Arkusjarvi,Perch,10.63090359,3.330047888,-168.8994474,1.138307346,Low_humic_Ac
Arkusjarvi,Perch,10.88787112,3.405626574,-177.4425332,1.138307346,Low_humic_Ac
Arkusjarvi,Perch,10.47581335,3.284433113,-156.6218103,1.138307346,Low_humic_Ac
Arkusjarvi,Perch,10.62406299,3.328035948,-177.004749,1.138307346,Low_humic_Ac
Arkusjarvi,Perch,10.61367682,3.324981191,-190.0063176,1.138307346,Low_humic_Ac
