Source,Lake,Meand2H,SDd2H,n,Category
Aquatic,Alajarvi,-185.7932057,23.56817844,24,Humic_Unac
Terrestrial,Alajarvi,-113.95252,11.24911444,26,Humic_Unac
Aquatic,Alanne,-196.4659237,23.56817844,24,Humic_Ac
Terrestrial,Alanne,-121.93307,11.24911444,26,Humic_Ac
Aquatic,Arkusjarvi,-174.5197709,23.56817844,24,Low_humic_Ac
Terrestrial,Arkusjarvi,-124.1695496,11.24911444,26,Low_humic_Ac
Aquatic,Erajarvi,-171.7360263,23.56817844,24,Humic_Unac
Terrestrial,Erajarvi,-113.75776,11.24911444,26,Humic_Unac
Aquatic,Haapajarvi,-192.6253507,23.56817844,24,Humic_Unac
Terrestrial,Haapajarvi,-121.50852,11.24911444,26,Humic_Unac
Aquatic,Hameenjarvi,-177.9574417,23.56817844,24,Low_humic_Ac
Terrestrial,Hameenjarvi,-114.8009,11.24911444,26,Low_humic_Ac
Aquatic,Hiidenvesi,-180.3302956,23.56817844,24,Nutrient
Terrestrial,Hiidenvesi,-107.76078,11.24911444,26,Nutrient
Aquatic,Hirvijarvi,-195.4483503,23.56817844,24,Humic_Ac
Terrestrial,Hirvijarvi,-114.93992,11.24911444,26,Humic_Ac
Aquatic,Jerisjarvi,-201.3908841,23.56817844,24,Low_humic_Ac
Terrestrial,Jerisjarvi,-135.2691,11.24911444,26,Low_humic_Ac
Aquatic,Joroisselka,-182.4202002,23.56817844,24,Humic_Unac
Terrestrial,Joroisselka,-112.69943,11.24911444,26,Humic_Unac
Aquatic,Jyvasjarvi,-192.526038,23.56817844,24,Humic_Unac
Terrestrial,Jyvasjarvi,-124.09401,11.24911444,26,Humic_Unac
Aquatic,Kakkisenjarvi,-188.9040064,23.56817844,24,Humic_Ac
Terrestrial,Kakkisenjarvi,-130.66291,11.24911444,26,Humic_Ac
Aquatic,Kakskerranjarvi,-165.9064994,23.56817844,24,Low_humic_Unac
Terrestrial,Kakskerranjarvi,-131.77752,11.24911444,26,Low_humic_Unac
Aquatic,Kilpisjarvi,-204.5935706,23.56817844,24,Polar
Terrestrial,Kilpisjarvi,-131.4375,11.24911444,26,Polar
Aquatic,Koylionjarvi,-170.9934387,23.56817844,24,Nutrient
Terrestrial,Koylionjarvi,-129.14445,11.24911444,26,Nutrient
Aquatic,Kuhajarvi,-185.3908378,23.56817844,24,Humic_Unac
Terrestrial,Kuhajarvi,-134.79843,11.24911444,26,Humic_Unac
Aquatic,Kuontijarvi,-196.9563109,23.56817844,24,Humic_Ac
Terrestrial,Kuontijarvi,-142.46341,11.24911444,26,Humic_Ac
Aquatic,Majajarvi,-185.6377159,23.56817844,24,Humic_Unac
Terrestrial,Majajarvi,-121.47008,11.24911444,26,Humic_Unac
Aquatic,Mutusjarvi,-206.7472971,23.56817844,24,Low_humic_Ac
Terrestrial,Mutusjarvi,-134.7583,11.24911444,26,Low_humic_Ac
Aquatic,Niemisjarvi,-186.7853159,23.56817844,24,Nutrient
Terrestrial,Niemisjarvi,-116.15234,11.24911444,26,Nutrient
Aquatic,Oikojarvi,-208.5553211,23.56817844,24,Polar
Terrestrial,Oikojarvi,-133.5291,11.24911444,26,Polar
Aquatic,Paajarvi,-183.5617962,23.56817844,24,Humic_Ac
Terrestrial,Paajarvi,-119.96635,11.24911444,26,Humic_Ac
Aquatic,Paatari,-208.0145436,23.56817844,24,Low_humic_Ac
Terrestrial,Paatari,-134.3425,11.24911444,26,Low_humic_Ac
Aquatic,Pankajarvi,-183.1224521,23.56817844,24,Humic_Unac
Terrestrial,Pankajarvi,-116.21428,11.24911444,26,Humic_Unac
Aquatic,Pesosjarvi,-200.5239186,23.56817844,24,Low_humic_Ac
Terrestrial,Pesosjarvi,-133.41737,11.24911444,26,Low_humic_Ac
Aquatic,Pusulanjarvi,-179.4042625,23.56817844,24,Nutrient
Terrestrial,Pusulanjarvi,-110.11118,11.24911444,26,Nutrient
Aquatic,Pyhajarvi,-184.0363094,23.56817844,24,Nutrient
Terrestrial,Pyhajarvi,-113.65154,11.24911444,26,Nutrient
Aquatic,Rattosjarvi,-205.5840082,23.56817844,24,Humic_Ac
Terrestrial,Rattosjarvi,-133.6734,11.24911444,26,Humic_Ac
Aquatic,Ropijarvi,-207.9924194,23.56817844,24,Polar
Terrestrial,Ropijarvi,-131.2218,11.24911444,26,Polar
Aquatic,Ruokojarvi,-177.8954869,23.56817844,24,Low_humic_Ac
Terrestrial,Ruokojarvi,-135.34955,11.24911444,26,Low_humic_Ac
Aquatic,Saaskjarvi,-182.9403838,23.56817844,24,Nutrient
Terrestrial,Saaskjarvi,-108.5759211,11.24911444,26,Nutrient
Aquatic,Sarkijarvi,-200.0107904,23.56817844,24,Low_humic_Ac
Terrestrial,Sarkijarvi,-135.8758,11.24911444,26,Low_humic_Ac
Aquatic,Suuri-Jukajarvi,-181.6744463,23.56817844,24,Low_humic_Ac
Terrestrial,Suuri-Jukajarvi,-124.16955,11.24911444,26,Low_humic_Ac
Aquatic,Suuri-Vahvanen,-175.117474,23.56817844,24,Low_humic_Ac
Terrestrial,Suuri-Vahvanen,-114.95399,11.24911444,26,Low_humic_Ac
Aquatic,Tottijarvi,-171.3156368,23.56817844,24,Humic_Unac
Terrestrial,Tottijarvi,-109.67851,11.24911444,26,Humic_Unac
Aquatic,Valkea-Kotinen,-172.7863417,23.56817844,24,Humic_Ac
Terrestrial,Valkea-Kotinen,-121.4700782,11.24911444,26,Humic_Ac
Aquatic,Vastusjarvi,-202.929754,23.56817844,24,Low_humic_Ac
Terrestrial,Vastusjarvi,-136.5847,11.24911444,26,Low_humic_Ac
Aquatic,Vesijarvi,-174.2073233,23.56817844,24,Low_humic_Unac
Terrestrial,Vesijarvi,-105.77849,11.24911444,26,Low_humic_Unac
Aquatic,Viipperonjarvi,-188.0608433,23.56817844,24,Humic_Ac
Terrestrial,Viipperonjarvi,-126.36413,11.24911444,26,Humic_Ac
Aquatic,Viitaanjarvi,-198.1104144,23.56817844,24,Humic_Ac
Terrestrial,Viitaanjarvi,-127.75703,11.24911444,26,Humic_Ac
Aquatic,Villikkalanjarvi,-184.0363094,23.56817844,24,Nutrient
Terrestrial,Villikkalanjarvi,-109.3025,11.24911444,26,Nutrient
Aquatic,Ylisjarvi,-169.9620532,23.56817844,24,Nutrient
Terrestrial,Ylisjarvi,-127.79869,11.24911444,26,Nutrient
